leader,follower,lag,corr,abs
Sausage,Boat Party Ticket,4,0.07662264662800634,0.07662264662800634
Bread,Fintech Token,3,-0.07649918460904949,0.07649918460904949
Sausage Sizzle,Fintech Token,5,0.07641124137251716,0.07641124137251716
Sausage Sizzle,Liferaft Ticket,2,0.0762580047613997,0.0762580047613997
Boat Party Ticket,Sausage,3,0.07609428618955387,0.07609428618955387
Bread,Liferaft Ticket,5,0.07551224070010634,0.07551224070010634
Sausage,Thrifted Jeans,5,-0.07526981587011224,0.07526981587011224
Liferaft Ticket,UQ Dollar,4,-0.07480760280092992,0.07480760280092992
Boat Party Ticket,Bread,5,-0.07374284660204569,0.07374284660204569
Boat Party Ticket,Bread,4,-0.0737324696161019,0.0737324696161019
Bread,UQ Dollar,5,0.07346264783422529,0.07346264783422529
Sausage,Fintech Token,4,0.07321408278049121,0.07321408278049121
Sausage Sizzle,Bread,3,0.07270703060701897,0.07270703060701897
Sausage Sizzle,Boat Party Ticket,5,0.07237424251512886,0.07237424251512886
Bread,MenuDash,5,0.07229280944587461,0.07229280944587461
Fintech Token,MenuDash,5,0.07217685297755712,0.07217685297755712
Sausage,MenuDash,3,-0.07208726295488654,0.07208726295488654
Thrifted Jeans,Bread,2,0.07196716559135491,0.07196716559135491
MenuDash,Liferaft Ticket,3,0.07144712037438987,0.07144712037438987
UQ Dollar,Sausage Sizzle,5,0.07080603195645085,0.07080603195645085
Sausage,Liferaft Ticket,5,-0.0703337234321719,0.0703337234321719
Thrifted Jeans,Sausage,5,-0.06990569424010731,0.06990569424010731
Thrifted Jeans,Bread,5,0.06966549244685652,0.06966549244685652
Liferaft Ticket,Bread,4,0.06937548212762776,0.06937548212762776
UQ Dollar,Thrifted Jeans,4,-0.06873643432741314,0.06873643432741314
Sausage Sizzle,Thrifted Jeans,5,0.06859802190168346,0.06859802190168346
Sausage Sizzle,UQ Dollar,4,0.06834822401241956,0.06834822401241956
Fintech Token,MenuDash,2,0.06793421978846709,0.06793421978846709
Fintech Token,Boat Party Ticket,5,-0.0678519902147265,0.0678519902147265
Fintech Token,Sausage Sizzle,1,-0.06784624885207721,0.06784624885207721
Sausage,UQ Dollar,2,0.06781849542178241,0.06781849542178241
UQ Dollar,MenuDash,2,-0.0676728322981948,0.0676728322981948
Bread,Thrifted Jeans,2,0.06729464901544177,0.06729464901544177
Liferaft Ticket,MenuDash,5,-0.06510756711483646,0.06510756711483646
Fintech Token,UQ Dollar,4,-0.06498786235953824,0.06498786235953824
Fintech Token,Sausage,5,-0.06441885206897827,0.06441885206897827
Boat Party Ticket,Bread,3,0.06405622367566596,0.06405622367566596
Bread,Liferaft Ticket,4,0.06388859450614398,0.06388859450614398
Fintech Token,Liferaft Ticket,1,-0.06383205387825325,0.06383205387825325
UQ Dollar,Liferaft Ticket,2,-0.06382673654355447,0.06382673654355447
Sausage Sizzle,Bread,1,0.06351171083193514,0.06351171083193514
Thrifted Jeans,Sausage,3,-0.06325293312504615,0.06325293312504615
UQ Dollar,Fintech Token,2,0.06323545726962508,0.06323545726962508
Thrifted Jeans,Sausage Sizzle,2,0.06270687306829358,0.06270687306829358
Sausage Sizzle,Boat Party Ticket,2,0.06260333473404865,0.06260333473404865
Sausage,Bread,5,-0.06259006527386612,0.06259006527386612
Bread,Thrifted Jeans,3,-0.06251942883570334,0.06251942883570334
Thrifted Jeans,UQ Dollar,3,0.06213973131789351,0.06213973131789351
UQ Dollar,Bread,2,-0.06100415216289722,0.06100415216289722
MenuDash,Fintech Token,4,0.06061546180069544,0.06061546180069544
Sausage,Liferaft Ticket,4,0.06027800373216248,0.06027800373216248
MenuDash,Bread,2,-0.059785280650863346,0.059785280650863346
MenuDash,Liferaft Ticket,5,0.059554707838709954,0.059554707838709954
Sausage Sizzle,UQ Dollar,5,-0.05804472834707588,0.05804472834707588
Thrifted Jeans,Liferaft Ticket,3,0.057966024224291424,0.057966024224291424
MenuDash,Liferaft Ticket,1,-0.057886468073245136,0.057886468073245136
Liferaft Ticket,MenuDash,1,-0.05744728620237154,0.05744728620237154
Boat Party Ticket,Sausage,4,-0.05661217121569553,0.05661217121569553
MenuDash,Liferaft Ticket,2,0.05652540411236791,0.05652540411236791
Boat Party Ticket,UQ Dollar,4,0.05639000397781423,0.05639000397781423
Thrifted Jeans,Sausage,2,-0.05615842685192406,0.05615842685192406
UQ Dollar,Fintech Token,5,-0.05607494683481813,0.05607494683481813
Fintech Token,MenuDash,3,-0.05596544267181065,0.05596544267181065
Sausage,Boat Party Ticket,3,0.05547724482218628,0.05547724482218628
MenuDash,Sausage,1,0.05499119793313426,0.05499119793313426
Sausage Sizzle,Thrifted Jeans,2,-0.05498815832064378,0.05498815832064378
Sausage,Bread,2,0.054987207765663355,0.054987207765663355
Fintech Token,Boat Party Ticket,3,-0.05370649077173388,0.05370649077173388
MenuDash,Thrifted Jeans,5,0.05368216581394538,0.05368216581394538
Thrifted Jeans,MenuDash,4,0.05363425621180134,0.05363425621180134
Sausage Sizzle,Sausage,1,0.05360894884960948,0.05360894884960948
Thrifted Jeans,Bread,3,0.053257434083834994,0.053257434083834994
Sausage,Thrifted Jeans,1,-0.05315575617154736,0.05315575617154736
Bread,Sausage,3,0.05312693265708889,0.05312693265708889
Liferaft Ticket,Sausage Sizzle,3,0.0530310195631688,0.0530310195631688
Boat Party Ticket,Thrifted Jeans,2,0.05291112830053443,0.05291112830053443
UQ Dollar,Sausage Sizzle,3,-0.05261361336490871,0.05261361336490871
UQ Dollar,Fintech Token,1,-0.05258923194786101,0.05258923194786101
Sausage,Fintech Token,3,0.05203455813902417,0.05203455813902417
Sausage Sizzle,Fintech Token,3,0.05167650077362957,0.05167650077362957
Sausage,Thrifted Jeans,2,0.051557081109907636,0.051557081109907636
Sausage Sizzle,Sausage,3,0.051549640063262306,0.051549640063262306
Fintech Token,Sausage Sizzle,2,0.05151841595586086,0.05151841595586086
Liferaft Ticket,Bread,1,0.051396330231092385,0.051396330231092385
Thrifted Jeans,Fintech Token,4,0.05073291207318187,0.05073291207318187
Liferaft Ticket,Fintech Token,4,-0.05029342660391876,0.05029342660391876
Bread,Sausage Sizzle,5,0.0493066376726839,0.0493066376726839
UQ Dollar,Thrifted Jeans,2,0.04899630891755914,0.04899630891755914
Fintech Token,Bread,4,-0.04875581775529207,0.04875581775529207
Liferaft Ticket,Fintech Token,5,-0.04847767543225042,0.04847767543225042
UQ Dollar,Liferaft Ticket,1,0.048456647168749985,0.048456647168749985
Bread,UQ Dollar,2,0.04841543961977418,0.04841543961977418
Sausage Sizzle,Boat Party Ticket,3,0.04829803860164981,0.04829803860164981
Thrifted Jeans,MenuDash,3,0.04813775199297247,0.04813775199297247
MenuDash,Thrifted Jeans,1,-0.04783861512915359,0.04783861512915359
Liferaft Ticket,Thrifted Jeans,1,-0.046894150210357144,0.046894150210357144
UQ Dollar,Boat Party Ticket,1,0.046539049661804444,0.046539049661804444
Thrifted Jeans,UQ Dollar,5,0.046415432274067615,0.046415432274067615
Fintech Token,Sausage,4,-0.046038860621210945,0.046038860621210945
Sausage Sizzle,Sausage,5,0.04584887999670866,0.04584887999670866
Sausage Sizzle,Liferaft Ticket,5,-0.04535301516984676,0.04535301516984676
Bread,Fintech Token,1,-0.04518994845003396,0.04518994845003396
Liferaft Ticket,Sausage,3,-0.044976061660459116,0.044976061660459116
Bread,Liferaft Ticket,1,0.04492613037945717,0.04492613037945717
Sausage Sizzle,UQ Dollar,2,-0.0448321192152799,0.0448321192152799
Sausage,Sausage Sizzle,2,0.044374221659985266,0.044374221659985266
UQ Dollar,Boat Party Ticket,5,0.04430454799285068,0.04430454799285068
MenuDash,Sausage,2,-0.04428842354859694,0.04428842354859694
MenuDash,UQ Dollar,1,0.044203186635086454,0.044203186635086454
MenuDash,Liferaft Ticket,4,-0.04383722770834538,0.04383722770834538
Sausage,Sausage Sizzle,5,0.04364854355406253,0.04364854355406253
MenuDash,Fintech Token,1,0.04353082607170409,0.04353082607170409
UQ Dollar,Sausage,5,-0.043390115200608675,0.043390115200608675
Boat Party Ticket,MenuDash,5,0.04270733773376632,0.04270733773376632
Thrifted Jeans,Fintech Token,1,-0.04252900213203638,0.04252900213203638
UQ Dollar,Bread,4,0.04207308597568999,0.04207308597568999
Boat Party Ticket,UQ Dollar,1,0.04198574213153461,0.04198574213153461
MenuDash,Sausage Sizzle,1,0.041820392257726324,0.041820392257726324
Sausage,UQ Dollar,3,-0.04156296035409078,0.04156296035409078
Boat Party Ticket,Thrifted Jeans,4,-0.041364261392517566,0.041364261392517566
Sausage Sizzle,Boat Party Ticket,4,0.04129183452603426,0.04129183452603426
UQ Dollar,Thrifted Jeans,1,-0.04025778368421918,0.04025778368421918
Liferaft Ticket,Sausage,2,0.040039526504210915,0.040039526504210915
MenuDash,Boat Party Ticket,5,-0.039768643419515845,0.039768643419515845
MenuDash,Sausage,4,-0.0394148547193144,0.0394148547193144
Boat Party Ticket,UQ Dollar,3,-0.03914618084830528,0.03914618084830528
Bread,MenuDash,2,-0.03876072555219196,0.03876072555219196
MenuDash,Fintech Token,5,-0.03840284980499632,0.03840284980499632
MenuDash,Sausage Sizzle,4,0.03822845557819729,0.03822845557819729
Fintech Token,Boat Party Ticket,4,0.03822232000841324,0.03822232000841324
UQ Dollar,Sausage,1,0.03806361819427858,0.03806361819427858
MenuDash,Sausage,3,-0.03780737545805485,0.03780737545805485
Fintech Token,Bread,1,-0.03772731937680707,0.03772731937680707
Bread,Thrifted Jeans,5,0.03756890813149491,0.03756890813149491
Liferaft Ticket,Bread,2,-0.03742338014220869,0.03742338014220869
UQ Dollar,Fintech Token,4,0.03691774626810635,0.03691774626810635
UQ Dollar,Sausage Sizzle,2,0.03687365510365567,0.03687365510365567
UQ Dollar,Boat Party Ticket,4,-0.036722722253485905,0.036722722253485905
Sausage Sizzle,MenuDash,4,0.036615877284468946,0.036615877284468946
Sausage,UQ Dollar,1,0.0365345705675555,0.0365345705675555
Boat Party Ticket,Thrifted Jeans,1,-0.03644976276808618,0.03644976276808618
Boat Party Ticket,MenuDash,1,0.03569412400158269,0.03569412400158269
Boat Party Ticket,Liferaft Ticket,1,-0.03565266759034093,0.03565266759034093
Sausage,MenuDash,2,0.03564646655379069,0.03564646655379069
Boat Party Ticket,Sausage,2,0.03543270138699246,0.03543270138699246
MenuDash,UQ Dollar,4,-0.03530205445827667,0.03530205445827667
MenuDash,Fintech Token,3,-0.035180350518731966,0.035180350518731966
UQ Dollar,Sausage,2,0.03511384232438032,0.03511384232438032
Sausage Sizzle,Bread,4,-0.034141365954820625,0.034141365954820625
UQ Dollar,Fintech Token,3,-0.03386500094685505,0.03386500094685505
Boat Party Ticket,Fintech Token,4,0.03336105370587124,0.03336105370587124
UQ Dollar,MenuDash,4,-0.03321392422024375,0.03321392422024375
Sausage Sizzle,Liferaft Ticket,4,0.03316597483917511,0.03316597483917511
Thrifted Jeans,UQ Dollar,1,0.03311981553309997,0.03311981553309997
Liferaft Ticket,UQ Dollar,1,0.03289917629327532,0.03289917629327532
Thrifted Jeans,Sausage Sizzle,3,0.03210538491491029,0.03210538491491029
Liferaft Ticket,Thrifted Jeans,2,0.03209791118886809,0.03209791118886809
Sausage,MenuDash,1,0.03209599798588399,0.03209599798588399
Liferaft Ticket,Fintech Token,3,-0.031891155149847014,0.031891155149847014
Boat Party Ticket,Sausage Sizzle,3,0.0317045170191586,0.0317045170191586
Liferaft Ticket,Thrifted Jeans,3,-0.03142044232428671,0.03142044232428671
Boat Party Ticket,Bread,2,-0.031160986671835686,0.031160986671835686
Liferaft Ticket,UQ Dollar,2,-0.030664186116903084,0.030664186116903084
Thrifted Jeans,Bread,4,0.030618919000333703,0.030618919000333703
MenuDash,Bread,3,0.03049888129185351,0.03049888129185351
Fintech Token,Liferaft Ticket,4,0.030167520038565248,0.030167520038565248
Sausage Sizzle,Sausage,2,0.030080032946691374,0.030080032946691374
Boat Party Ticket,Thrifted Jeans,5,-0.029731871850939482,0.029731871850939482
MenuDash,Thrifted Jeans,2,-0.029368146299136928,0.029368146299136928
Bread,Sausage Sizzle,3,0.02923491580788951,0.02923491580788951
UQ Dollar,Sausage Sizzle,4,-0.028361408009498556,0.028361408009498556
Bread,MenuDash,1,-0.028270782624776863,0.028270782624776863
MenuDash,Sausage Sizzle,3,-0.028122600432821394,0.028122600432821394
UQ Dollar,Thrifted Jeans,3,0.0277914602878091,0.0277914602878091
Sausage Sizzle,Bread,2,0.0277787643712139,0.0277787643712139
UQ Dollar,MenuDash,1,0.027683435432964153,0.027683435432964153
Liferaft Ticket,Sausage Sizzle,1,0.027625532507289212,0.027625532507289212
Boat Party Ticket,Liferaft Ticket,2,-0.02749262408269726,0.02749262408269726
Boat Party Ticket,Thrifted Jeans,3,0.02700063880283337,0.02700063880283337
Boat Party Ticket,UQ Dollar,2,-0.026585145249178516,0.026585145249178516
Liferaft Ticket,Boat Party Ticket,3,-0.026517084720553235,0.026517084720553235
Boat Party Ticket,Sausage Sizzle,5,-0.026378234769401626,0.026378234769401626
Sausage,Thrifted Jeans,3,-0.026282462501976724,0.026282462501976724
UQ Dollar,Sausage Sizzle,1,-0.0262262523826537,0.0262262523826537
Sausage,Boat Party Ticket,5,0.025964824448704692,0.025964824448704692
Sausage Sizzle,Fintech Token,2,-0.025480785229865677,0.025480785229865677
Fintech Token,UQ Dollar,3,-0.02540721169585932,0.02540721169585932
Fintech Token,Sausage,3,0.02527905004021668,0.02527905004021668
Boat Party Ticket,MenuDash,2,-0.025264793109584346,0.025264793109584346
Boat Party Ticket,Liferaft Ticket,3,-0.02514520878623611,0.02514520878623611
Liferaft Ticket,Thrifted Jeans,4,-0.025026447976602466,0.025026447976602466
Liferaft Ticket,Thrifted Jeans,5,-0.024987925572871245,0.024987925572871245
Thrifted Jeans,Sausage Sizzle,4,0.024704385799870065,0.024704385799870065
Liferaft Ticket,Boat Party Ticket,1,-0.024652256336945493,0.024652256336945493
Sausage Sizzle,Fintech Token,4,0.02446291959087759,0.02446291959087759
Sausage,Liferaft Ticket,2,0.024408137283443952,0.024408137283443952
Boat Party Ticket,Fintech Token,2,-0.023848348226136754,0.023848348226136754
Bread,UQ Dollar,1,-0.023716734454552246,0.023716734454552246
Bread,Fintech Token,2,0.023254966419878544,0.023254966419878544
UQ Dollar,MenuDash,3,0.022921612384163348,0.022921612384163348
Fintech Token,Bread,2,-0.022874807293744092,0.022874807293744092
Fintech Token,Sausage Sizzle,5,-0.02257703343299027,0.02257703343299027
MenuDash,Sausage,5,-0.022280449797839046,0.022280449797839046
Sausage,Boat Party Ticket,1,0.02222941924157084,0.02222941924157084
Bread,Sausage Sizzle,2,0.02186595255542829,0.02186595255542829
Fintech Token,Bread,5,-0.02184493544039112,0.02184493544039112
Fintech Token,Liferaft Ticket,3,-0.021639797397119218,0.021639797397119218
Thrifted Jeans,Boat Party Ticket,2,-0.021369397429764157,0.021369397429764157
Sausage,Thrifted Jeans,4,0.02111446096970102,0.02111446096970102
Thrifted Jeans,Bread,1,0.020676717370815445,0.020676717370815445
Fintech Token,Thrifted Jeans,5,0.02063658630381621,0.02063658630381621
Liferaft Ticket,MenuDash,2,0.020446012813457443,0.020446012813457443
Liferaft Ticket,Sausage,4,0.020011005249051816,0.020011005249051816
Liferaft Ticket,UQ Dollar,5,0.019913453063936864,0.019913453063936864
Boat Party Ticket,Fintech Token,3,-0.019867718802330334,0.019867718802330334
Thrifted Jeans,MenuDash,2,0.019759441177325626,0.019759441177325626
Bread,Sausage,1,-0.019597963240059794,0.019597963240059794
Thrifted Jeans,Liferaft Ticket,5,0.019586957345824777,0.019586957345824777
MenuDash,UQ Dollar,2,0.019368988215311345,0.019368988215311345
Thrifted Jeans,Fintech Token,3,0.019203572337618668,0.019203572337618668
Thrifted Jeans,Fintech Token,2,0.01881145546575446,0.01881145546575446
Bread,Thrifted Jeans,4,-0.018731893649880142,0.018731893649880142
MenuDash,Bread,4,-0.018503025544603438,0.018503025544603438
Liferaft Ticket,MenuDash,3,-0.01844788633039035,0.01844788633039035
Boat Party Ticket,Sausage Sizzle,2,-0.01705657176719126,0.01705657176719126
Bread,Boat Party Ticket,3,-0.017037773866491895,0.017037773866491895
MenuDash,Thrifted Jeans,3,-0.016955373276535752,0.016955373276535752
Sausage Sizzle,Liferaft Ticket,1,0.016923576139883927,0.016923576139883927
UQ Dollar,Boat Party Ticket,3,-0.016453829224005137,0.016453829224005137
Sausage Sizzle,Bread,5,0.01643326041171457,0.01643326041171457
UQ Dollar,Bread,1,-0.01620980196306769,0.01620980196306769
Bread,Boat Party Ticket,5,-0.016025351771176227,0.016025351771176227
MenuDash,UQ Dollar,5,-0.01589207445626607,0.01589207445626607
Thrifted Jeans,UQ Dollar,2,-0.015885851445275788,0.015885851445275788
Sausage Sizzle,MenuDash,2,0.015870889304764796,0.015870889304764796
Bread,UQ Dollar,3,-0.015420896106453101,0.015420896106453101
Thrifted Jeans,Sausage,1,0.015382135192712585,0.015382135192712585
Liferaft Ticket,Fintech Token,1,0.015294753235695959,0.015294753235695959
MenuDash,Sausage Sizzle,5,0.014711636861215021,0.014711636861215021
Sausage,UQ Dollar,4,0.014536973226133728,0.014536973226133728
Sausage Sizzle,Fintech Token,1,-0.014374632092229651,0.014374632092229651
Fintech Token,Boat Party Ticket,2,0.014333721607198818,0.014333721607198818
Sausage,UQ Dollar,5,-0.014094391536518685,0.014094391536518685
Liferaft Ticket,Fintech Token,2,0.014050206087399921,0.014050206087399921
Sausage,Liferaft Ticket,3,-0.014035584922001933,0.014035584922001933
Thrifted Jeans,Liferaft Ticket,4,0.013984121133305086,0.013984121133305086
MenuDash,UQ Dollar,3,-0.013882549777411997,0.013882549777411997
Thrifted Jeans,Fintech Token,5,-0.013670409558473252,0.013670409558473252
MenuDash,Thrifted Jeans,4,0.013365464101315179,0.013365464101315179
Fintech Token,UQ Dollar,1,0.013038701726261223,0.013038701726261223
Sausage,Bread,1,0.012650079969082179,0.012650079969082179
MenuDash,Boat Party Ticket,3,0.012197632141561582,0.012197632141561582
Liferaft Ticket,Boat Party Ticket,2,-0.011887311119590783,0.011887311119590783
Boat Party Ticket,Liferaft Ticket,5,-0.011840455077541863,0.011840455077541863
Sausage Sizzle,Thrifted Jeans,4,0.011749149817257144,0.011749149817257144
MenuDash,Boat Party Ticket,1,0.011313731406638007,0.011313731406638007
Fintech Token,Bread,3,-0.01092412926667779,0.01092412926667779
Liferaft Ticket,UQ Dollar,3,0.010765052548912997,0.010765052548912997
Bread,MenuDash,3,-0.010763121873858878,0.010763121873858878
Boat Party Ticket,Sausage,5,0.010593658742327598,0.010593658742327598
Sausage Sizzle,Boat Party Ticket,1,0.010012771452330083,0.010012771452330083
Sausage Sizzle,UQ Dollar,3,-0.01001059994692592,0.01001059994692592
UQ Dollar,Liferaft Ticket,5,0.009929653301922976,0.009929653301922976
Bread,Sausage,4,0.009904824293936155,0.009904824293936155
Thrifted Jeans,Sausage Sizzle,5,-0.00988180558973735,0.00988180558973735
Fintech Token,Sausage,2,0.00964719986378317,0.00964719986378317
Sausage,Fintech Token,5,-0.009585277088479874,0.009585277088479874
Bread,UQ Dollar,4,-0.009573739157426367,0.009573739157426367
Fintech Token,Thrifted Jeans,2,-0.00898353172932974,0.00898353172932974
Bread,Liferaft Ticket,2,-0.008941375982154783,0.008941375982154783
Sausage Sizzle,Thrifted Jeans,3,-0.008904794814046069,0.008904794814046069
Boat Party Ticket,Sausage,1,0.008826088565431633,0.008826088565431633
Fintech Token,Thrifted Jeans,1,-0.008193463780053513,0.008193463780053513
Bread,Boat Party Ticket,4,0.007984283953664387,0.007984283953664387
Thrifted Jeans,Boat Party Ticket,1,0.007423692219139827,0.007423692219139827
MenuDash,Fintech Token,2,0.007213987583817775,0.007213987583817775
Sausage,Sausage Sizzle,4,0.007016638419794946,0.007016638419794946
UQ Dollar,Boat Party Ticket,2,-0.007010068586697658,0.007010068586697658
Boat Party Ticket,Fintech Token,1,-0.006892818015811005,0.006892818015811005
Fintech Token,Thrifted Jeans,4,0.005995021123605414,0.005995021123605414
UQ Dollar,Thrifted Jeans,5,0.005745478581154678,0.005745478581154678
Thrifted Jeans,Boat Party Ticket,4,-0.005729251065610864,0.005729251065610864
Sausage,Bread,3,-0.0053616486891712,0.0053616486891712
UQ Dollar,Bread,3,0.005238605052624477,0.005238605052624477
Fintech Token,Thrifted Jeans,3,-0.0051821843623929996,0.0051821843623929996
MenuDash,Bread,5,-0.004685645944864656,0.004685645944864656
Fintech Token,Sausage Sizzle,4,-0.004651009508428857,0.004651009508428857
Sausage Sizzle,MenuDash,1,0.004476151622416962,0.004476151622416962
UQ Dollar,MenuDash,5,0.004429383549453296,0.004429383549453296
Liferaft Ticket,Sausage Sizzle,2,0.004315957382892996,0.004315957382892996
Boat Party Ticket,UQ Dollar,5,0.004231821652768311,0.004231821652768311
Bread,Fintech Token,4,-0.003809038975102651,0.003809038975102651
Sausage,Bread,4,0.003407595348213199,0.003407595348213199
Thrifted Jeans,Liferaft Ticket,2,0.0032970344297834865,0.0032970344297834865
Bread,Sausage,2,0.0032806416663129626,0.0032806416663129626
Boat Party Ticket,Fintech Token,5,-0.0030192738134529684,0.0030192738134529684
Bread,Boat Party Ticket,1,-0.0029143854335580773,0.0029143854335580773
Sausage,Liferaft Ticket,1,0.0028537230533903168,0.0028537230533903168
Fintech Token,Sausage Sizzle,3,-0.0022571348617347942,0.0022571348617347942
MenuDash,Boat Party Ticket,2,0.002023256023508131,0.002023256023508131
Thrifted Jeans,Liferaft Ticket,1,-0.0019329681504103987,0.0019329681504103987
Fintech Token,MenuDash,1,0.0015635585442052666,0.0015635585442052666
Thrifted Jeans,Sausage Sizzle,1,0.0013605375540169853,0.0013605375540169853
Fintech Token,Liferaft Ticket,5,0.000988281166873424,0.000988281166873424
Sausage,MenuDash,4,-0.00083087623312448,0.00083087623312448
MenuDash,Bread,1,-0.0005246146897627863,0.0005246146897627863
Fintech Token,UQ Dollar,2,0.00041422325861345413,0.00041422325861345413
Thrifted Jeans,MenuDash,5,-9.201825440479451e-05,9.201825440479451e-05
Bread,Fintech Token,5,-6.313816925804839e-05,6.313816925804839e-05
UQ Dollar,Liferaft Ticket,4,6.276958968557706e-05,6.276958968557706e-05
Boat Party Ticket,MenuDash,3,-2.5037676273121173e-05,2.5037676273121173e-05
